Generated by Fabric Compiler ( version 2022.2-SP6.4 <build 146967> ) at Thu Nov  6 03:41:22 2025

Number of unique control sets : 177
  CLK(uart_clk)                                    : 38
  CLK(uart_clk), CE(nt_rst)                        : 2
  CLK(uart_clk), CE(fft_transform1.N59)            : 24
  CLK(uart_clk), CE(fft_transform2.N59)            : 24
  CLK(adc_clk), CE(fre_duty_measure1.N125)         : 37
  CLK(adc_clk), CE(fre_duty_measure2.N125)         : 37
  CLK(uart_clk), CE(Vpp_measure1.N45)              : 48
  CLK(uart_clk), CE(wave1_judge.N196)              : 320
  CLK(adc_clk), C(~nt_rst)                         : 7683
  CLK(uart_clk), CP(~nt_rst)                       : 26091
      CLK(uart_clk), C(~nt_rst)                    : 26063
      CLK(uart_clk), P(~nt_rst)                    : 28
  CLK(uart_clk), C(~nt_rst), CE(threshold_warning.N147)  : 1
  CLK(uart_clk), C(~nt_rst), CE(threshold_warning.N151)  : 1
  CLK(uart_clk), C(~nt_rst), CE(threshold_warning.N155)  : 1
  CLK(uart_clk), C(~nt_rst), CE(threshold_warning.N159)  : 1
  CLK(uart_clk), C(~nt_rst), CE(~threshold_warning.N20)  : 1
  CLK(uart_clk), C(~nt_rst), CE(~threshold_warning.N42)  : 1
  CLK(uart_clk), C(~nt_rst), CE(~threshold_warning.N73)  : 1
  CLK(uart_clk), C(~nt_rst), CE(~threshold_warning.N95)  : 1
  CLK(adc_clk), C(~nt_rst), CE(adc_transform1.N47)       : 2
  CLK(adc_clk), C(~nt_rst), CE(adc_transform2.N47)       : 2
  CLK(uart_clk), C(~nt_rst), CE(display_HMI.N6542)       : 2
  CLK(uart_clk), C(~nt_rst), CE(fft_transform1.FFT_calculation.fft.use_radix2_burst.u_radix2_burst_core.N321)  : 2
  CLK(uart_clk), C(~nt_rst), CE(fft_transform1.FFT_calculation.fft.use_radix2_burst.u_radix2_burst_core.eof_d4)      : 2
  CLK(uart_clk), C(~nt_rst), CE(fft_transform2.FFT_calculation.fft.use_radix2_burst.u_radix2_burst_core.N321)  : 2
  CLK(uart_clk), C(~nt_rst), CE(fft_transform2.FFT_calculation.fft.use_radix2_burst.u_radix2_burst_core.eof_d4)      : 2
  CLK(adc_clk), C(~nt_rst), CE(fre_duty_measure1.N96)    : 3
  CLK(adc_clk), C(~nt_rst), CE(fre_duty_measure2.N96)    : 3
  CLK(uart_clk), C(~nt_rst), CE(display_HMI.uart_rx.N194)      : 3
  CLK(uart_clk), C(~nt_rst), CE(display_HMI.uart_tx.N186)      : 3
  CLK(uart_clk), C(~nt_rst), CE(esp8266.uart_rx.N194)    : 3
  CLK(uart_clk), C(~nt_rst), CE(esp8266.uart_tx.N186)    : 3
  CLK(uart_clk), C(~nt_rst), CE(data_judge.N86)    : 4
  CLK(uart_clk), P(~nt_rst), CE(data_judge.encoder.ok_10ms)    : 4
  CLK(uart_clk), C(~nt_rst), CE(display_HMI.binary2BCD_THD1.add_cnt)       : 4
  CLK(uart_clk), C(~nt_rst), CE(display_HMI.binary2BCD_Vmax1.add_cnt)      : 4
  CLK(uart_clk), C(~nt_rst), CE(display_HMI.binary2BCD_tx_Vpp1_max.add_cnt)      : 4
  CLK(uart_clk), C(~nt_rst), CE(display_HMI.binary2BCD_tx_fre2_min.add_cnt)      : 4
  CLK(uart_clk), C(~nt_rst), CE(fft_transform1.FFT_calculation.fft.use_radix2_burst.u_radix2_burst_core.r2_dit_ctrl.N428)  : 4
  CLK(uart_clk), C(~nt_rst), CE(fft_transform2.FFT_calculation.fft.use_radix2_burst.u_radix2_burst_core.r2_dit_ctrl.N428)  : 4
  CLK(uart_clk), C(~nt_rst), CE(display_HMI.binary2BCD_fre1.add_cnt)       : 5
  CLK(uart_clk), C(~nt_rst), CE(display_HMI.N11235)      : 8
  CLK(uart_clk), C(~nt_rst), CE(display_HMI.N15231)      : 8
  CLK(uart_clk), C(~nt_rst), CE(display_HMI.N18971)      : 8
  CLK(uart_clk), C(~nt_rst), CE(display_HMI.N18981)      : 8
  CLK(uart_clk), C(~nt_rst), CE(display_HMI.N18991)      : 8
  CLK(uart_clk), C(~nt_rst), CE(display_HMI.N19001)      : 8
  CLK(uart_clk), C(~nt_rst), CE(display_HMI.N19011)      : 8
  CLK(uart_clk), C(~nt_rst), CE(display_HMI.N19021)      : 8
  CLK(uart_clk), C(~nt_rst), CE(display_HMI.N19031)      : 8
  CLK(uart_clk), C(~nt_rst), CE(display_HMI.N19041)      : 8
  CLK(uart_clk), C(~nt_rst), CE(display_HMI.N19051)      : 8
  CLK(uart_clk), C(~nt_rst), CE(display_HMI.N19061)      : 8
  CLK(uart_clk), C(~nt_rst), CE(display_HMI.N19071)      : 8
  CLK(uart_clk), C(~nt_rst), CE(display_HMI.N19081)      : 8
  CLK(uart_clk), C(~nt_rst), CE(display_HMI.N19091)      : 8
  CLK(uart_clk), C(~nt_rst), CE(display_HMI.N19101)      : 8
  CLK(uart_clk), C(~nt_rst), CE(display_HMI.N19111)      : 8
  CLK(uart_clk), C(~nt_rst), CE(display_HMI.N19121)      : 8
